[2024-10-28 18:39:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:39:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:39:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:39:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:40:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:41:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:42:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:43:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:44:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:45:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:46:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:47:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:48:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:21] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:31] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:41] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:49:51] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:50:01] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:50:11] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:50:21] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:50:31] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
